City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,mo i rana,66.3128,14.1428,-1.74,100,100,1.03,NO,1698516749
83,katsuren-haebaru,26.3369,127.8719,21.01,82,0,2.06,JP,1698516749
84,anadyr,64.75,177.4833,1.28,100,100,5.0,RU,1698516749
85,bethel,41.3712,-73.414,27.57,58,75,4.63,US,1698516631
86,lebu,-37.6167,-73.65,11.85,88,100,9.84,CL,1698516641
87,ancud,-41.8697,-73.8203,8.72,75,86,12.24,CL,1698516655
88,conde,-7.2597,-34.9075,28.7,58,40,7.72,BR,1698516750
89,mwaya,-9.55,33.95,28.43,53,77,1.15,TZ,1698516750
90,vernon,50.2581,-119.2691,4.23,55,2,0.45,CA,1698516625
91,olonkinbyen,70.9221,-8.7187,-0.87,74,98,3.14,SJ,1698516750
92,papatowai,-46.5619,169.4708,4.92,90,34,2.63,NZ,1698516750
93,kirakira,-10.4544,161.9205,25.55,85,78,2.75,SB,1698516751
94,kupang,-10.1667,123.5833,25.38,85,43,2.18,ID,1698516751
95,yeed,4.55,43.0333,24.52,84,100,2.52,SO,1698516751
96,tralee,52.2704,-9.7026,10.1,89,90,2.15,IE,1698516751
97,ribeira grande,38.5167,-28.7,18.76,63,40,6.69,PT,1698516752
98,puerto baquerizo moreno,-0.9,-89.6,27.55,69,75,7.2,EC,1698516752
99,benguela,-12.5763,13.4055,27.76,65,58,3.99,AO,1698516752
100,st. john's,47.5649,-52.7093,14.75,97,100,6.69,CA,1698516479
101,howrah,22.5892,88.3103,25.0,78,20,0.0,IN,1698516753
102,mount gambier,-37.8333,140.7667,4.46,96,96,1.86,AU,1698516753
103,puerto montt,-41.4698,-72.9447,12.46,54,75,7.72,CL,1698516753
104,nemuro,43.3236,145.575,12.05,73,58,1.73,JP,1698516753
105,dhidhdhoo,6.8833,73.1,28.21,75,100,2.39,MV,1698516753
106,la passe,45.5549,-0.8967,17.23,67,100,11.14,FR,1698516754
107,bardai,11.65,7.2333,25.82,26,9,0.83,NG,1698516754
108,richards bay,-28.783,32.0377,19.56,90,100,5.96,ZA,1698516754
109,enewetak,11.3474,162.3373,27.95,76,48,3.54,MH,1698516754
110,kostomuksha,64.571,30.5767,-4.98,95,57,1.34,RU,1698516754
111,georgetown,5.4112,100.3354,27.19,94,20,1.54,MY,1698516660
112,ikovka,55.6089,64.9375,-2.66,87,100,3.34,RU,1698516755
113,upper grand lagoon,30.1633,-85.7408,29.45,55,40,2.57,US,1698516755
114,joacaba,-27.1781,-51.5047,17.55,99,100,1.81,BR,1698516755
115,susangerd,31.5608,48.1831,26.67,25,80,3.1,IR,1698516755
116,hanzhong,33.0728,107.0303,14.52,82,29,0.57,CN,1698516756
117,chinde,26.8418,88.0763,14.29,77,55,1.79,NP,1698516756
118,bubaque,11.2833,-15.8333,27.81,76,57,4.01,GW,1698516756
119,bredasdorp,-34.5322,20.0403,13.53,56,85,5.6,ZA,1698516756
120,oranjemund,-28.55,16.4333,15.2,76,0,12.35,NA,1698516756
121,bojonegoro,-7.1502,111.8817,25.75,69,40,2.42,ID,1698516632
122,isafjordur,66.0755,-23.124,2.66,87,100,2.32,IS,1698516757
123,pont rouge,48.8833,-72.0825,7.16,64,89,6.95,CA,1698516757
124,hetauda,27.4284,85.0322,20.64,75,96,1.83,NP,1698516757
